gpu,gpu_full_name,kernel,seq_len,head_dim,duration_mean_ns,duration_std_ns,duration_median_ns,duration_min_ns,duration_max_ns,kernels_per_iter,data_source,grid_x,grid_y,grid_z,block_x,block_y,block_z,registers_per_thread,static_shared_mem_bytes,dynamic_shared_mem_bytes,memcpy_h2d_bytes,memcpy_h2d_duration_ns,memcpy_d2h_bytes,memcpy_d2h_duration_ns
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,2048,64,49903.9,272.42090112254795,49872.0,49536.0,50336.0,1.0,kernel_table,16.0,1.0,1.0,128.0,1.0,1.0,247.0,0.0,40960.0,15728640.0,357152.0,5242880.0,102431.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,2048,64,18060.8,176.619007143089,18032.0,17792.0,18400.0,2.0,kernel_table,32.0,8.0,1.0,128.0,1.0,1.0,236.0,0.0,73728.0,15728640.0,355456.0,5242880.0,101088.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,2048,64,118543.9,376.28669081461084,118543.5,117600.0,119168.0,15.0,kernel_table,256.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,15728640.0,359616.0,5242880.0,106880.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,2048,64,103286.15,306.6244531395986,103199.5,102944.0,103999.0,1.0,kernel_table,32.0,1.0,1.0,32.0,4.0,1.0,118.0,0.0,18944.0,15728640.0,355935.0,5242880.0,102240.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,256,128,8484.8,28.00300735729346,8480.0,8448.0,8544.0,1.0,kernel_table,4.0,1.0,1.0,128.0,1.0,1.0,192.0,0.0,40960.0,3932160.0,186880.0,1310720.0,32128.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,256,128,10374.4,52.530091626759884,10368.0,10304.0,10528.0,2.0,kernel_table,4.0,2.0,1.0,128.0,1.0,1.0,204.0,0.0,81920.0,3932160.0,186656.0,1310720.0,31744.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,256,128,40188.5,134.98401464812903,40160.0,39968.0,40416.0,16.0,kernel_table,64.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,3932160.0,186623.0,1310720.0,32192.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,256,128,17038.4,60.95934797275278,17024.0,16960.0,17184.0,1.0,kernel_table,4.0,1.0,1.0,32.0,8.0,1.0,122.0,0.0,52224.0,3932160.0,186400.0,1310720.0,31488.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,256,64,8355.2,41.39870325963058,8352.0,8256.0,8416.0,1.0,kernel_table,2.0,1.0,1.0,128.0,1.0,1.0,247.0,0.0,40960.0,1966080.0,105374.0,655360.0,20351.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,256,64,9235.15,26.30444229042931,9232.0,9184.0,9280.0,1.0,kernel_table,2.0,1.0,1.0,128.0,1.0,1.0,255.0,0.0,49152.0,1966080.0,104959.0,655360.0,20416.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,256,64,35873.6,82.7160011249653,35872.0,35744.0,36032.0,15.0,kernel_table,32.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,1966080.0,105280.0,655360.0,20448.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,256,64,14713.55,71.55452466476177,14720.0,14592.0,14848.0,1.0,kernel_table,4.0,1.0,1.0,32.0,4.0,1.0,118.0,0.0,18944.0,1966080.0,105280.0,655360.0,20416.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,4096,128,97409.45,785.9597200740934,97408.0,96352.0,98464.0,1.0,kernel_table,64.0,1.0,1.0,128.0,1.0,1.0,192.0,0.0,40960.0,62914560.0,1191839.0,20971520.0,382783.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,4096,128,67824.0,293.19294886330044,67792.0,67488.0,68608.0,2.0,kernel_table,64.0,5.0,1.0,128.0,1.0,1.0,204.0,0.0,81920.0,62914560.0,1191296.0,20971520.0,382464.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,4096,128,435600.8,663.0711321689321,435583.5,434495.0,437535.0,14.0,kernel_table,1024.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,62914560.0,1197566.0,20971520.0,387423.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,4096,128,236663.7,1262.05922373339,236464.0,234912.0,238815.0,1.0,kernel_table,64.0,1.0,1.0,32.0,8.0,1.0,122.0,0.0,52224.0,62914560.0,1192123.0,20971520.0,382591.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,4096,64,97340.7,537.4297604044839,97328.0,96576.0,98144.0,1.0,kernel_table,32.0,1.0,1.0,128.0,1.0,1.0,247.0,0.0,40960.0,31457280.0,641375.0,10485760.0,199775.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,4096,64,43883.15,115.78804365145643,43856.0,43712.0,44128.0,2.0,kernel_table,64.0,16.0,1.0,128.0,1.0,1.0,236.0,0.0,73728.0,31457280.0,641887.0,10485760.0,204416.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,4096,64,355214.25,724.7111130432739,355183.5,354080.0,356640.0,15.0,kernel_table,512.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,31457280.0,651744.0,10485760.0,202816.0
