,GpuName,SeqLen,HeadDim,SM_Util,Tensor_Util,FMA_Util,FMA_Heavy_Util,FMA_Lite_Util,Shared_Util,ALU_Util,ALU_Heavy_Util,FP64_Util,L1_Cache_Util,LTS_Util,DRAM_Util,SFU_Util,SMSP_Util
30,l4,2048,64,0.8651367398875143,0.0,1.392881765265219,0.5393486953762592,0.8535330698889598,,0.6782898501852999,,0.0,0.8651367398875143,0.8703576462958017,4.335002078712476,0.025451858131041373,0.3230465457901612
31,l4,2048,128,0.9420300025089117,0.0,2.433284725821796,1.101483823887132,1.3318009019346637,,0.5496691929837073,,0.0,0.9420300025089117,0.9745140522405517,4.718085687613745,0.0,0.4312215757493941
32,l4,4096,64,0.9768170352484047,0.0,1.5915239298844044,0.790430018551792,0.8010939113326125,,0.6115372663373054,,0.0,0.9768170352484047,1.009728572958889,6.740611862848629,0.0,0.3262292641719761
33,l4,4096,128,0.9806415361146418,0.0,2.366228782247164,1.12476364374087,1.2414651385062938,,0.530908410327707,,0.0,0.9806415361146418,1.0146823454308194,5.684398815845686,0.0,0.4174674932962549
34,l4,8192,64,0.9847474282323717,0.0,1.3924134608743395,0.7144348843228621,0.6779785765514778,,0.5085725226793203,,0.0,0.9847474282323717,1.0139812812627904,6.955521508316822,0.0,0.2796312050811569
35,l4,8192,128,0.9924510346946586,0.0,2.1233519275590105,1.0396974354304496,1.0836544921285607,,0.4587143247892505,,0.0,0.9924510346946586,1.0157759763698582,5.87014469299104,0.0,0.3707668577176446
36,rtx2060,256,64,0.5223135998927428,0.0,0.26071732422219035,,,0.0010953910139427016,0.18286468997082522,,0.0,0.5223135998927428,0.38919007387471033,0.5237694858009226,0.006207215745675308,0.07848804661687486
37,rtx2060,256,128,0.513403806338589,0.0,0.5942347507564899,,,0.0,0.2193979933110368,,0.0,0.513403806338589,0.4207974996018474,0.679168657429527,0.006115623506927855,0.13299042443064182
38,rtx2060,512,64,0.6094569548697989,0.0,0.7419516263552962,,,0.0,0.27415438791585584,,0.0,0.6094569548697989,0.6625631313131314,1.4396371976647206,0.010675562969140951,0.16895778310629225
39,rtx2060,512,128,0.7419161416029917,8.63266189208525e-06,0.89819250044692,,,0.00221859410626591,0.3557422848282046,,0.0,0.7419161416029917,0.6485676165831996,1.007442433633714,0.01253498476155329,0.20556040543296575
40,rtx2060,1024,64,0.833653597123169,3.800525436545963e-06,0.9878750261170254,,,0.0011428458074920777,0.379088322542622,,0.0,0.833653597123169,0.7886515522550926,2.0610935390882186,0.024702488380125214,0.22201096090075048
41,rtx2060,1024,128,0.9002557673422734,0.0,1.569790341881718,,,0.0,0.2804338318549405,,0.0,0.9002557673422734,0.8610190329673573,1.9354202553246296,0.012363765152856707,0.2806184632762904
42,rtx2060,2048,64,0.9693143944982341,0.0,1.2217247943858953,,,0.0,0.38766830849847933,,0.0,0.9693143944982341,0.9300221034051865,2.901485943703714,0.016017547632971488,0.2582189057733111
43,rtx2060,2048,128,0.8931782994329562,0.0,1.7107484293433148,,,0.0,0.2838350801774026,,0.0,0.8931782994329562,0.9162740597733914,2.265160317230769,0.01276283995917035,0.3005578404164786
44,rtx2060,4096,64,0.9862663909735335,0.0,1.2204284135322792,,,0.0,0.3542040360186843,,0.0,0.9862663909735335,0.9525374145348594,3.085790307448592,0.015933085827112014,0.25090344737901515
